,samples,energies
0,"[0.4999999403953552, 0.10000000894069672, 0.1000002771615982, 0.20000006258487701]",1.7122
1,"[0.7999998927116394, 0.05000000074505806, 0.05000041425228119, 0.050000160932540894]",1.7164
2,"[0.19999998807907104, 0.09999999403953552, 0.3000001013278961, 0.10000008344650269]",1.7228
3,"[0.30000001192092896, 0.30000001192092896, 0.19999976456165314, 0.09999988228082657]",1.725
4,"[0.19999994337558746, 0.29999998211860657, 0.30000030994415283, 0.10000008344650269]",1.7264
5,"[0.09999999403953552, 0.30000001192092896, 0.19999997317790985, 0.10000007599592209]",1.73
6,"[0.09999999403953552, 0.20000003278255463, 0.10000007599592209, 0.4999999701976776]",1.7303
7,"[0.09999999403953552, 0.4000000059604645, 0.1000003069639206, 0.10000010579824448]",1.7307
8,"[0.10000001639127731, 0.30000001192092896, 0.4000002145767212, 0.10000012814998627]",1.7314
9,"[0.19999998807907104, 0.10000001639127731, 0.10000048577785492, 0.20000016689300537]",1.7326
10,"[0.19999995827674866, 0.10000000149011612, 0.3000003397464752, 0.2000000774860382]",1.7344
11,"[0.3680906295776367, 0.19551433622837067, 0.09841664135456085, 0.2252700924873352]",1.7358
12,"[0.1000000461935997, 0.19999998807907104, 0.3999998867511749, 0.09999996423721313]",1.7361
13,"[0.5999998450279236, 0.09999997168779373, 0.10000106692314148, 0.1000003069639206]",1.737
14,"[0.09999998658895493, 0.30000001192092896, 0.19999989867210388, 0.19999997317790985]",1.7424
15,"[0.20000004768371582, 0.20000000298023224, 0.19999976456165314, 0.09999996423721313]",1.7461
16,"[0.20000000298023224, 0.29999998211860657, 0.10000021755695343, 0.10000008344650269]",1.7464
17,"[0.4999999701976776, 0.09999997913837433, 0.10000011324882507, 0.09999998658895493]",1.7471
18,"[0.49999991059303284, 0.10000002384185791, 0.20000070333480835, 0.10000022500753403]",1.7485
19,"[0.10000003129243851, 0.4000000059604645, 0.19999989867210388, 0.20000001788139343]",1.7487
20,"[0.21486356854438782, 0.16434220969676971, 0.02068132720887661, 0.024914883077144623]",1.7487
21,"[0.2842140793800354, 0.1746853142976761, 0.195404052734375, 0.10593203455209732]",1.749
22,"[0.3999999761581421, 0.09999998658895493, 0.10000012814998627, 0.20000001788139343]",1.7502
23,"[0.041168853640556335, 0.07872170209884644, 0.8519668579101562, 0.01193434651941061]",1.7508
24,"[0.4999999701976776, 0.20000001788139343, 0.1000003069639206, 0.10000006854534149]",1.7524
25,"[0.2583411633968353, 0.1852470189332962, 0.16577501595020294, 0.1872282773256302]",1.7534
26,"[0.256835013628006, 0.1841670572757721, 0.12360653281211853, 0.14890940487384796]",1.754
27,"[0.19999998807907104, 0.1000000387430191, 0.2000000923871994, 0.20000001788139343]",1.7548
28,"[0.3999999463558197, 0.09999999403953552, 0.20000047981739044, 0.10000018775463104]",1.7548
29,"[0.40000006556510925, 0.10000000894069672, 0.09999950230121613, 0.299999862909317]",1.7553
30,"[0.20000001788139343, 0.09999999403953552, 0.0999997928738594, 0.10000002384185791]",1.7554
31,"[0.09999996423721313, 0.4999999701976776, 0.10000015795230865, 0.10000000149011612]",1.7561
32,"[0.2837650179862976, 0.17440931499004364, 0.273133784532547, 0.14101970195770264]",1.757
33,"[0.4000000059604645, 0.20000000298023224, 0.1000000387430191, 0.10000003129243851]",1.7571
34,"[0.2999999523162842, 0.20000001788139343, 0.10000044852495193, 0.20000013709068298]",1.7574
35,"[0.4000000059604645, 0.10000002384185791, 0.2999999523162842, 0.09999999403953552]",1.7578
36,"[0.10000000149011612, 0.20000004768371582, 0.1999995857477188, 0.39999982714653015]",1.7596
37,"[0.09999998658895493, 0.20000003278255463, 0.20000019669532776, 0.10000003129243851]",1.7598
38,"[0.20000001788139343, 0.10000000894069672, 0.1999998688697815, 0.29999998211860657]",1.7608
39,"[0.2658414840698242, 0.148264080286026, 0.12794098258018494, 0.23119676113128662]",1.7623
40,"[0.19999997317790985, 0.30000001192092896, 0.10000017285346985, 0.20000003278255463]",1.7625
41,"[0.2110961377620697, 0.14127802848815918, 0.3047810196876526, 0.11015146225690842]",1.7629
42,"[0.29999998211860657, 0.10000003129243851, 0.20000024139881134, 0.30000007152557373]",1.7635
43,"[0.10000003129243851, 0.30000004172325134, 0.299999862909317, 0.19999995827674866]",1.7642
44,"[0.19999998807907104, 0.10000000894069672, 0.40000012516975403, 0.10000006854534149]",1.7646
45,"[0.29999998211860657, 0.10000001639127731, 0.30000022053718567, 0.10000009089708328]",1.7651
46,"[0.2399744987487793, 0.1720770001411438, 0.3849733769893646, 0.09275589138269424]",1.7658
47,"[0.20000000298023224, 0.20000000298023224, 0.20000039041042328, 0.2000001221895218]",1.7662
48,"[0.20000006258487701, 0.20000000298023224, 0.29999932646751404, 0.19999979436397552]",1.7674
49,"[0.2535601258277893, 0.18181869387626648, 0.2643987238407135, 0.18376325070858002]",1.7678
50,"[0.20000000298023224, 0.2999999523162842, 0.20000037550926208, 0.10000012069940567]",1.7684
51,"[0.2128751575946808, 0.1424686461687088, 0.1639195680618286, 0.061710938811302185]",1.7685
52,"[0.19999998807907104, 0.10000000894069672, 0.2000003159046173, 0.10000007599592209]",1.7688
53,"[0.10000000894069672, 0.5000000596046448, 0.09999996423721313, 0.20000003278255463]",1.7708
54,"[0.4000000059604645, 0.20000003278255463, 0.19999992847442627, 0.09999997168779373]",1.771
55,"[0.09999994933605194, 0.19999995827674866, 0.30000007152557373, 0.20000004768371582]",1.7711
56,"[0.29999998211860657, 0.30000001192092896, 0.10000011324882507, 0.10000001639127731]",1.7718
57,"[0.21302205324172974, 0.1425669640302658, 0.18453723192214966, 0.07410438358783722]",1.772
58,"[0.09999997168779373, 0.30000001192092896, 0.30000001192092896, 0.10000003129243851]",1.7726
59,"[0.29999998211860657, 0.19999997317790985, 0.10000003129243851, 0.2999999225139618]",1.7726
60,"[0.2839515209197998, 0.17452393472194672, 0.2928354740142822, 0.15287165343761444]",1.7726
61,"[0.09999998658895493, 0.30000001192092896, 0.10000041872262955, 0.10000010579824448]",1.7728
62,"[0.4000000059604645, 0.30000001192092896, 0.1000003069639206, 0.10000012814998627]",1.773
63,"[0.227046400308609, 0.1302453875541687, 0.21854045987129211, 0.26327675580978394]",1.7733
64,"[0.20000000298023224, 0.1000000387430191, 0.09999998658895493, 0.30000001192092896]",1.7734
65,"[0.20000000298023224, 0.20000000298023224, 0.29999983310699463, 0.09999989718198776]",1.7737
66,"[0.19999997317790985, 0.4000000059604645, 0.10000025480985641, 0.1000000610947609]",1.7741
67,"[0.09999998658895493, 0.3999998867511749, 0.30000051856040955, 0.10000023245811462]",1.7742
68,"[0.19999995827674866, 0.20000000298023224, 0.10000010579824448, 0.10000008344650269]",1.7744
69,"[0.19999994337558746, 0.20000003278255463, 0.4000002443790436, 0.10000012814998627]",1.7745
70,"[0.2508793771266937, 0.15990793704986572, 0.1006171852350235, 0.06060686334967613]",1.7748
71,"[0.3999999761581421, 0.20000000298023224, 0.10000021010637283, 0.2000001221895218]",1.775
72,"[0.2160671353340149, 0.16526278853416443, 0.187175452709198, 0.12527281045913696]",1.7752
73,"[0.20000001788139343, 0.30000004172325134, 0.19999998807907104, 0.20000000298023224]",1.7755
74,"[0.09999999403953552, 0.19999998807907104, 0.19999992847442627, 0.2999999225139618]",1.7762
75,"[0.20000003278255463, 0.30000004172325134, 0.0999998152256012, 0.2999999523162842]",1.7773
76,"[0.699999988079071, 0.10000000149011612, 0.05000043660402298, 0.10000016540288925]",1.7776
77,"[0.1000000536441803, 0.20000004768371582, 0.19999970495700836, 0.19999992847442627]",1.779
78,"[0.20000003278255463, 0.1000000461935997, 0.4999995231628418, 0.09999985247850418]",1.7793
79,"[0.20000004768371582, 0.10000002384185791, 0.29999980330467224, 0.29999998211860657]",1.7798
80,"[0.2131691426038742, 0.14266544580459595, 0.2051832228899002, 0.086514912545681]",1.7801
81,"[0.2999999523162842, 0.20000003278255463, 0.20000047981739044, 0.20000013709068298]",1.7804
82,"[0.21355344355106354, 0.16334016621112823, 0.10277653485536575, 0.04952620714902878]",1.7808
83,"[0.20000001788139343, 0.20000001788139343, 0.09999988228082657, 0.2999999225139618]",1.7815
84,"[0.21167528629302979, 0.14166569709777832, 0.3871155083179474, 0.15954428911209106]",1.7817
85,"[0.09999999403953552, 0.4000000059604645, 0.10000041872262955, 0.3000001609325409]",1.7831
86,"[0.18399304151535034, 0.15392376482486725, 0.17709973454475403, 0.21335314214229584]",1.7847
87,"[0.2134043127298355, 0.14282281696796417, 0.36973604559898376, 0.17322015762329102]",1.7848
88,"[0.19999994337558746, 0.40000003576278687, 0.10000007599592209, 0.19999997317790985]",1.7854
89,"[0.09999997913837433, 0.20000003278255463, 0.5000001788139343, 0.10000003129243851]",1.7859
90,"[0.25121980905532837, 0.16012495756149292, 0.1410546451807022, 0.08496472239494324]",1.7867
