Al,Ca,Fe,Mg,Mn,Ni,overpotential
0.123203886,0.106073305,0.528616852,0.203194123,0.003486383,0.035425451,1.7122
0.036816886,0.044190856,0.743974534,0.107922623,0.001842684,0.065252417,1.7164
0.067023292,0.150250737,0.470664215,0.29113923,0.007421466,0.013501059,1.7228
0.059822072,0.08844649,0.430871617,0.396596673,0.005038623,0.019224525,1.725
0.060222215,0.101456901,0.405555328,0.414243197,0.005944029,0.012578332,1.7264
0.059748308,0.126382897,0.370296442,0.430672195,0.006804132,0.006096027,1.73
0.249113177,0.165135701,0.276780749,0.299041227,0.004090566,0.00583858,1.7303
0.056401042,0.110277842,0.337978217,0.483349258,0.006129129,0.005864511,1.7307
0.060607766,0.113992877,0.381162213,0.431246228,0.006816418,0.006174497,1.7314
0.118124198,0.165653973,0.42362707,0.27308884,0.006444897,0.013061022,1.7326
0.119851488,0.152910723,0.436014063,0.271529317,0.006453113,0.013241296,1.7344
0.12860551,0.110574908,0.438723644,0.293967318,0.003968138,0.024160483,1.7358
0.063839489,0.137517788,0.411125616,0.373582428,0.007545841,0.006388838,1.7361
0.066910981,0.07946948,0.60877923,0.196778433,0.00336583,0.044696046,1.737
0.107670301,0.129204945,0.340694472,0.410501593,0.005938778,0.005989911,1.7424
0.063026986,0.131489278,0.430817575,0.35507942,0.00665117,0.01293557,1.7461
0.059351992,0.114236279,0.394174686,0.413878689,0.005942807,0.012415547,1.7464
0.066662329,0.102238141,0.567695606,0.222772004,0.004461726,0.036170194,1.7471
0.067222157,0.094741474,0.575608954,0.221531224,0.00445118,0.036445011,1.7485
0.10325244,0.107364681,0.314763073,0.463514579,0.005304121,0.005801106,1.7487
0.023868239,0.147019178,0.461514383,0.345956391,0.007484461,0.014157348,1.7487
0.067144016,0.121852419,0.464746861,0.321312099,0.006008697,0.018935907,1.749
0.121417435,0.127026946,0.491693495,0.227775063,0.004526849,0.027560211,1.7502
0.021915301,0.147636249,0.491357102,0.326226167,0.010026216,0.002838965,1.7508
0.062912481,0.077053014,0.527996707,0.29347946,0.003756096,0.034802243,1.7524
0.108585364,0.128780513,0.423324431,0.317153837,0.005420837,0.016735018,1.7534
0.088696755,0.130922628,0.433325541,0.324551075,0.005793747,0.016710253,1.754
0.118981924,0.159326019,0.429778117,0.272314423,0.006448977,0.013150541,1.7548
0.0669699,0.11660177,0.536323229,0.246280698,0.005493442,0.028330961,1.7548
0.174248312,0.130196717,0.455928429,0.209011645,0.003595696,0.027019201,1.7553
0.065995732,0.163277425,0.457556718,0.292456778,0.007399653,0.013313693,1.7554
0.053656061,0.089465177,0.312656814,0.533037068,0.005501471,0.005683409,1.7561
0.086178952,0.117927304,0.45757089,0.313759655,0.005683926,0.018879273,1.757
0.062787893,0.098433204,0.491722113,0.315196848,0.004771455,0.027088487,1.7571
0.114375812,0.121879729,0.423748538,0.315767911,0.004818776,0.019409233,1.7574
0.06752022,0.109369895,0.543836498,0.245240914,0.005490793,0.028541681,1.7578
0.206184107,0.157238297,0.309367538,0.316337827,0.004895875,0.005976356,1.7596
0.06290811,0.150023047,0.399493766,0.373746668,0.007523546,0.006304862,1.7598
0.169490065,0.161748078,0.396777313,0.253557049,0.005523527,0.012903967,1.7608
0.132706379,0.140182939,0.420690771,0.283920918,0.005206761,0.017292232,1.7623
0.108143903,0.117324389,0.363616556,0.393642483,0.005077135,0.012195535,1.7625
0.07098108,0.137432131,0.457001087,0.31362929,0.006900323,0.014056089,1.7629
0.172431916,0.14308063,0.428779513,0.231262501,0.004577336,0.019868103,1.7635
0.108390895,0.123175105,0.345812068,0.410655047,0.005939338,0.006027546,1.7642
0.067547995,0.143598923,0.477357292,0.290466451,0.007432605,0.013596734,1.7646
0.067264869,0.130376883,0.506236262,0.268826177,0.006482887,0.020812922,1.7651
0.061076279,0.118102425,0.467547267,0.330634304,0.006572816,0.016066909,1.7658
0.113757034,0.134386042,0.398327104,0.335096063,0.005736839,0.012696918,1.7662
0.114561597,0.128027374,0.404136997,0.334756444,0.005736088,0.0127815,1.7674
0.107692835,0.123996888,0.430054826,0.316191412,0.005518263,0.016545776,1.7678
0.059784269,0.107888206,0.399827946,0.414059756,0.005943414,0.012496409,1.7684
0.044489539,0.144668595,0.464847017,0.324493999,0.007331416,0.014169434,1.7685
0.066505922,0.156809593,0.464064673,0.291802607,0.007410484,0.013406722,1.7688
0.098486083,0.092699161,0.285962474,0.512546314,0.004714903,0.005591064,1.7708
0.063284175,0.091391576,0.498586458,0.314692934,0.00476379,0.027281067,1.771
0.113161029,0.146432084,0.373841257,0.353712878,0.006621115,0.006231638,1.7711
0.059378549,0.095085016,0.424868592,0.396526876,0.005044005,0.019096962,1.7718
0.051189856,0.143610261,0.461905422,0.321917772,0.007211119,0.01416557,1.772
0.060175289,0.120227504,0.375694584,0.430957376,0.006810236,0.006135011,1.7726
0.164173316,0.124954696,0.391378862,0.296504095,0.00393799,0.019051041,1.7726
0.092544974,0.116927004,0.454773196,0.311310588,0.005569865,0.018874373,1.7726
0.05932672,0.132460556,0.364966469,0.430390615,0.006798105,0.006057535,1.7728
0.059406493,0.074934194,0.457164501,0.378269422,0.00409829,0.0261271,1.773
0.150055754,0.147042413,0.408923949,0.273865014,0.005397635,0.014715235,1.7733
0.168310896,0.167941995,0.390961289,0.254442351,0.005525706,0.012817762,1.7734
0.063502437,0.12499062,0.436957947,0.354869014,0.006656611,0.013023372,1.7737
0.056355295,0.092115993,0.365585862,0.468646728,0.005285689,0.012010433,1.7741
0.057186025,0.098164857,0.348026204,0.484553226,0.006132588,0.005937099,1.7742
0.062557903,0.137900898,0.424759445,0.355287007,0.006645803,0.012848944,1.7744
