,readable,energies
0,"('[0.4539516568183899 0.3516102731227875 0.3699261248111725 0.376753568649292]', 'tensor([[ 0.1269,  0.1192,  0.4038,  0.3288,  0.0049,  0.0164, -0.2761]])')",1.502417802810669
1,"('[0.6289477348327637 0.6080577969551086 0.3495229184627533 0.6675118207931519]', 'tensor([[ 0.1445,  0.1167,  0.3778,  0.3408,  0.0043,  0.0159, -0.6270]])')",1.1501126289367676
2,"('[0.42574551701545715 0.2686656713485718 0.6190685033798218 0.45769017934799194]', 'tensor([[ 0.1354,  0.1320,  0.4094,  0.3032,  0.0054,  0.0146, -0.3856]])')",1.4208765029907227
3,"('[0.6122333407402039 0.3000701069831848 0.3822456896305084 0.33283481001853943]', 'tensor([[ 0.1175,  0.1145,  0.4364,  0.3066,  0.0048,  0.0203, -0.3137]])')",1.526742935180664
4,"('[0.37841925024986267 0.6400476098060608 0.3351067304611206 0.6174838542938232]', 'tensor([[ 0.1453,  0.1195,  0.3487,  0.3700,  0.0046,  0.0118, -0.4855]])')",1.2890949249267578
5,"('[0.6321460008621216 0.5814307928085327 0.2205992341041565 0.36468181014060974]', 'tensor([[ 0.1116,  0.1006,  0.4007,  0.3640,  0.0043,  0.0188, -0.3994]])')",1.3723971843719482
6,"('[0.6041445136070251 0.754400372505188 0.361587256193161 0.3478343188762665]', 'tensor([[ 0.0985,  0.0973,  0.3897,  0.3936,  0.0046,  0.0163, -0.5340]])')",1.2315531969070435
7,"('[0.6907848715782166 0.6004346013069153 0.5187446475028992 0.593955397605896]', 'tensor([[ 0.1295,  0.1147,  0.3966,  0.3379,  0.0046,  0.0166, -0.7020]])')",1.0752111673355103
8,"('[0.43531832098960876 0.32078176736831665 0.5677833557128906 0.6078200340270996]', 'tensor([[ 0.1533,  0.1349,  0.3897,  0.3032,  0.0051,  0.0138, -0.4659]])')",1.3520722389221191
9,"('[0.3823398947715759 0.32542645931243896 0.6492761969566345 0.6057717800140381]', 'tensor([[ 0.1514,  0.1371,  0.3862,  0.3076,  0.0053,  0.0125, -0.4814]])')",1.3263800144195557
10,"('[0.35716211795806885 0.37397629022598267 0.3723306357860565 0.31232041120529175]', 'tensor([[ 0.1186,  0.1177,  0.3946,  0.3494,  0.0051,  0.0146, -0.2079]])')",1.5659496784210205
11,"('[0.6617428660392761 0.2945050597190857 0.6380329132080078 0.5797650814056396]', 'tensor([[ 0.1410,  0.1288,  0.4236,  0.2838,  0.0050,  0.0178, -0.5870]])')",1.2123268842697144
12,"('[0.5082719326019287 0.627497136592865 0.2596328854560852 0.5826547741889954]', 'tensor([[ 0.1404,  0.1139,  0.3647,  0.3620,  0.0043,  0.0146, -0.4890]])')",1.2840741872787476
13,"('[0.33740609884262085 0.6914317607879639 0.41167089343070984 0.4387946128845215]', 'tensor([[ 0.1188,  0.1113,  0.3565,  0.3970,  0.0049,  0.0113, -0.4397]])')",1.3286858797073364
14,"('[0.6695929765701294 0.36294740438461304 0.5559759140014648 0.2725352346897125]', 'tensor([[ 0.0979,  0.1099,  0.4479,  0.3191,  0.0051,  0.0201, -0.4305]])')",1.3900086879730225
15,"('[0.3250730037689209 0.36190178990364075 0.6490408778190613 0.38365569710731506]', 'tensor([[ 0.1215,  0.1274,  0.3960,  0.3372,  0.0056,  0.0123, -0.3598]])')",1.415266513824463
16,"('[0.7186053991317749 0.3945210874080658 0.4076940417289734 0.6404967904090881]', 'tensor([[ 0.1489,  0.1226,  0.4085,  0.2969,  0.0044,  0.0187, -0.5807]])')",1.245699405670166
17,"('[0.31891438364982605 0.5043988227844238 0.5019912123680115 0.5957685708999634]', 'tensor([[ 0.1467,  0.1283,  0.3594,  0.3496,  0.0050,  0.0109, -0.4605]])')",1.3154001235961914
18,"('[0.36255013942718506 0.3706715404987335 0.3223424553871155 0.38928115367889404]', 'tensor([[ 0.1328,  0.1212,  0.3853,  0.3414,  0.0049,  0.0145, -0.2224]])')",1.553489327430725
19,"('[0.6513875722885132 0.5508046746253967 0.6146247386932373 0.680088460445404]', 'tensor([[ 0.1396,  0.1222,  0.3926,  0.3254,  0.0048,  0.0154, -0.7485]])')",1.0308066606521606
20,"('[0.4249799847602844 0.5934382081031799 0.45510587096214294 0.3640001714229584]', 'tensor([[ 0.1097,  0.1100,  0.3829,  0.3787,  0.0050,  0.0137, -0.4188]])')",1.3497310876846313
21,"('[0.4478503167629242 0.2598901093006134 0.5656124949455261 0.4308652877807617]', 'tensor([[ 0.1335,  0.1298,  0.4141,  0.3018,  0.0053,  0.0155, -0.3521]])')",1.4746105670928955
22,"('[0.34073641896247864 0.6474712491035461 0.48982444405555725 0.3511064946651459]', 'tensor([[ 0.1066,  0.1099,  0.3705,  0.3960,  0.0052,  0.0117, -0.4146]])')",1.351441740989685
